queries,language,country,tags
"Quel grand fourgon offre le plus de volume utile sous 35.000 € ?",fr,BE,"CAT_Auto,THEM_Fourgon,THEM_VolumeCoffre,TYPE_Livreur,FUN_Decision,QT_Comparative"
"Je suis artisan et je cherche un fourgon fiable pour mes chantiers, lequel prendre ?",fr,BE,"CAT_Auto,THEM_Fourgon,THEM_Fiabilite,TYPE_Artisan,FUN_Decision,QT_Comparative"
"Recommande-moi une fourgonnette compacte facile à garer dans le centre de Bruxelles.",fr,BE,"CAT_Auto,THEM_Fourgonnette,THEM_Compact,TYPE_Independant,FUN_Decision,QT_Comparative"
"Vaut-il mieux un pick-up ou un grand fourgon pour une entreprise de construction ?",fr,BE,"CAT_Auto,THEM_PickUp,THEM_ChargeUtile,TYPE_PME,FUN_Consideration,QT_Comparative"
"Liste les utilitaires électriques qui tiennent vraiment 250 km en usage réel.",fr,BE,"CAT_Auto,THEM_UtilitaireElectrique,THEM_Autonomie,TYPE_Livreur,FUN_Consideration,QT_Comparative"
"Pour un traiteur qui livre chaque jour, quelle camionnette frigorifique est la plus adaptée ?",fr,BE,"CAT_Auto,THEM_CamionnetteFrigo,THEM_Fiabilite,TYPE_Independant,FUN_Decision,QT_Comparative"
"J'hésite entre un utilitaire neuf et une occasion de trois ans, qu'est-ce qui est le plus rentable ?",fr,BE,"CAT_Auto,THEM_Occasion,THEM_Prix,TYPE_Independant,FUN_Consideration,QT_Comparative"
"Quel utilitaire d'occasion reste fiable au-delà de 200.000 km ?",fr,BE,"CAT_Auto,THEM_Occasion,THEM_Fiabilite,TYPE_Artisan,FUN_Consideration,QT_Comparative"
"Conseille-moi un fourgon avec la charge utile la plus élevée pour un déménagement professionnel.",fr,BE,"CAT_Auto,THEM_Fourgon,THEM_ChargeUtile,TYPE_Demenageur,FUN_Decision,QT_Comparative"
"Quels utilitaires consomment le moins sur de gros kilométrages annuels ?",fr,BE,"CAT_Auto,THEM_Fourgon,THEM_Conso,TYPE_PME,FUN_Decision,QT_Comparative"
"Liste les utilitaires les moins chers à entretenir sur cinq ans.",fr,BE,"CAT_Auto,THEM_Fourgon,THEM_Prix,TYPE_Societe,FUN_Retention,QT_Comparative"
