queries,language,country,tags
"Quelle est la meilleure citadine en Belgique en 2026 ?",fr,BE,"CAT_Citadine,THEM_Generic,TYPE_Generic,FUN_Decision,QT_Comparative"
"Je cherche une petite voiture fiable pour aller au travail tous les jours, laquelle prendre ?",fr,BE,"CAT_Citadine,THEM_Fiabilite,TYPE_Navetteur,FUN_Consideration,QT_Comparative"
"Recommande-moi une citadine pas chère à l'achat et à l'entretien.",fr,BE,"CAT_Citadine,THEM_Prix,THEM_Entretien,TYPE_Budget,FUN_Decision,QT_Comparative"
"Quelle citadine consomme le moins sur les trajets urbains ?",fr,BE,"CAT_Citadine,THEM_Conso,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Vaut-il mieux une citadine essence ou une hybride pour rouler en ville ?",fr,BE,"CAT_Citadine,THEM_Hybride,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Je suis étudiant avec un budget de 10 000 €, quelle citadine d'occasion choisir ?",fr,BE,"CAT_Citadine,THEM_Occasion,THEM_Prix,TYPE_Etudiant,FUN_Decision,QT_Comparative"
"Quelle citadine est la plus fiable sur le long terme ?",fr,BE,"CAT_Citadine,THEM_Fiabilite,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Liste les meilleures citadines électriques disponibles en Belgique.",fr,BE,"CAT_Citadine,THEM_Electrique,TYPE_Generic,FUN_Discovery,QT_Comparative"
"Quelle petite voiture a le plus grand coffre ?",fr,BE,"CAT_Citadine,THEM_Coffre,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Je viens d'avoir mon permis, quelle citadine me conseilles-tu ?",fr,BE,"CAT_Citadine,THEM_Securite,TYPE_JeuneConducteur,FUN_FirstCar,QT_Comparative"
"Quelle citadine coûte le moins cher à assurer pour un jeune conducteur ?",fr,BE,"CAT_Citadine,THEM_Assurance,TYPE_JeuneConducteur,FUN_Purchase,QT_Comparative"
"Recommande-moi une citadine automatique confortable pour une personne âgée.",fr,BE,"CAT_Citadine,THEM_Automatique,TYPE_Senior,FUN_Decision,QT_Comparative"
"Quelle citadine est la plus facile à garer dans le centre de Bruxelles ?",fr,BE,"CAT_Citadine,THEM_Stationnement,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Vaut-il mieux acheter une citadine neuve ou d'occasion en Belgique ?",fr,BE,"CAT_Citadine,THEM_Occasion,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle citadine offre le meilleur rapport qualité-prix en 2026 ?",fr,BE,"CAT_Citadine,THEM_Prix,TYPE_Generic,FUN_Decision,QT_Comparative"
"Je fais 30 000 km par an, quelle citadine tient la route sur autoroute ?",fr,BE,"CAT_Citadine,THEM_Conso,TYPE_Navetteur,FUN_Consideration,QT_Comparative"
"Quelle petite voiture électrique a la meilleure autonomie réelle ?",fr,BE,"CAT_Citadine,THEM_Autonomie,THEM_Electrique,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelles citadines hybrides sont les plus économiques à l'usage ?",fr,BE,"CAT_Citadine,THEM_Hybride,THEM_Conso,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Recommande-moi une citadine sûre pour transporter un enfant en siège auto.",fr,BE,"CAT_Citadine,THEM_Securite,TYPE_Famille,FUN_Decision,QT_Comparative"
"Quelle citadine garde le mieux sa valeur à la revente ?",fr,BE,"CAT_Citadine,THEM_Revente,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Je cherche une deuxième voiture pour les courses, quelle citadine choisir ?",fr,BE,"CAT_Citadine,THEM_Prix,TYPE_SecondeVoiture,FUN_Decision,QT_Comparative"
"Quelle citadine a le meilleur équipement de série pour moins de 20 000 € ?",fr,BE,"CAT_Citadine,THEM_Equipement,THEM_Prix,TYPE_Generic,FUN_Decision,QT_Comparative"
"Vaut-il mieux une citadine ou un petit SUV pour la ville ?",fr,BE,"CAT_Citadine,THEM_Generic,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Quelle petite voiture est la moins chère à entretenir en Belgique ?",fr,BE,"CAT_Citadine,THEM_Entretien,TYPE_Budget,FUN_Retention,QT_Comparative"
"Quelle citadine d'occasion sous 8 000 € est encore fiable ?",fr,BE,"CAT_Citadine,THEM_Occasion,THEM_Fiabilite,TYPE_Budget,FUN_Decision,QT_Comparative"
"Liste les citadines les mieux notées par Euro NCAP.",fr,BE,"CAT_Citadine,THEM_Securite,TYPE_Generic,FUN_Discovery,QT_Comparative"
"Quelle citadine électrique reste sous les 25 000 € en Belgique ?",fr,BE,"CAT_Citadine,THEM_Electrique,THEM_Prix,TYPE_Budget,FUN_Decision,QT_Comparative"
"Je vis en appartement sans borne de recharge, quelle petite voiture électrique est envisageable ?",fr,BE,"CAT_Citadine,THEM_Electrique,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Quelle citadine convient le mieux à un couple sans enfant ?",fr,BE,"CAT_Citadine,THEM_Generic,TYPE_Couple,FUN_Consideration,QT_Comparative"
"Recommande-moi une citadine avec une boîte automatique fiable.",fr,BE,"CAT_Citadine,THEM_Automatique,THEM_Fiabilite,TYPE_Generic,FUN_Decision,QT_Comparative"
"Quelle petite voiture est la plus adaptée aux zones de basses émissions belges ?",fr,BE,"CAT_Citadine,THEM_Fiscalite,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Quelle citadine diesel reste pertinente en 2026 ?",fr,BE,"CAT_Citadine,THEM_Conso,TYPE_Navetteur,FUN_Consideration,QT_Comparative"
"Quelle citadine offre le meilleur confort sur les pavés bruxellois ?",fr,BE,"CAT_Citadine,THEM_Confort,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Je cherche une citadine pour ma fille qui débute, laquelle est la plus sécurisante ?",fr,BE,"CAT_Citadine,THEM_Securite,TYPE_JeuneConducteur,FUN_FirstCar,QT_Comparative"
"Quelle petite voiture a la meilleure garantie constructeur en Belgique ?",fr,BE,"CAT_Citadine,THEM_Garantie,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Vaut-il mieux louer ou acheter une citadine quand on roule peu ?",fr,BE,"CAT_Citadine,THEM_Prix,TYPE_SecondeVoiture,FUN_Purchase,QT_Comparative"
"Quelle citadine se revend le plus facilement en Belgique ?",fr,BE,"CAT_Citadine,THEM_Revente,TYPE_Generic,FUN_Retention,QT_Comparative"
"Quelles citadines sont les moins chères en leasing privé ?",fr,BE,"CAT_Citadine,THEM_Prix,TYPE_Generic,FUN_Purchase,QT_Comparative"
"Quelle petite voiture électrique se recharge le plus vite ?",fr,BE,"CAT_Citadine,THEM_Electrique,THEM_Autonomie,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Recommande-moi une citadine spacieuse malgré sa petite taille.",fr,BE,"CAT_Citadine,THEM_Coffre,TYPE_Famille,FUN_Decision,QT_Comparative"
"Quelle citadine est la plus économique pour un navetteur qui fait 60 km par jour ?",fr,BE,"CAT_Citadine,THEM_Conso,TYPE_Navetteur,FUN_Decision,QT_Comparative"
"Quelle petite voiture est la plus silencieuse en ville ?",fr,BE,"CAT_Citadine,THEM_Confort,TYPE_Urbain,FUN_Consideration,QT_Comparative"
"Quelle citadine convient à un senior qui veut une position de conduite haute ?",fr,BE,"CAT_Citadine,THEM_Confort,TYPE_Senior,FUN_Consideration,QT_Comparative"
"Quelle citadine hybride rechargeable existe encore sur le marché belge ?",fr,BE,"CAT_Citadine,THEM_Hybride,TYPE_Generic,FUN_Discovery,QT_Comparative"
"Je cherche une citadine sans écran tactile compliqué, laquelle reste simple à utiliser ?",fr,BE,"CAT_Citadine,THEM_Equipement,TYPE_Senior,FUN_Consideration,QT_Comparative"
"Vaut-il mieux une Renault Clio ou une Peugeot 208 pour un usage urbain ?",fr,BE,"CAT_Citadine,THEM_Generic,TYPE_Urbain,FUN_Decision,QT_Comparative,BRAND_RenaultClio,BRAND_Peugeot208"
"Vaut-il mieux une Toyota Yaris ou une Renault Clio hybride pour un navetteur ?",fr,BE,"CAT_Citadine,THEM_Hybride,TYPE_Navetteur,FUN_Decision,QT_Comparative,BRAND_ToyotaYaris,BRAND_RenaultClio"
"Entre une Dacia Sandero et une Skoda Fabia, laquelle offre le meilleur rapport qualité-prix ?",fr,BE,"CAT_Citadine,THEM_Prix,TYPE_Budget,FUN_Decision,QT_Comparative,BRAND_DaciaSandero,BRAND_SkodaFabia"
"Quelle est la meilleure alternative à la Volkswagen Polo en 2026 ?",fr,BE,"CAT_Citadine,THEM_Generic,TYPE_Generic,FUN_Consideration,QT_Comparative,BRAND_VolkswagenPolo"
