queries,language,country,tags
"Quel fournisseur d'énergie choisir en Belgique en 2026 ?",fr,BE,"CAT_Energie,THEM_Generic,TYPE_Menage,FUN_Decision,QT_Comparative"
"Recommande-moi le fournisseur d'électricité le moins cher pour un ménage moyen.",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Decision,QT_Comparative"
"Quel fournisseur propose le meilleur tarif fixe en Belgique ?",fr,BE,"CAT_Energie,THEM_TarifFixe,TYPE_Menage,FUN_Decision,QT_Comparative"
"Vaut-il mieux un contrat fixe ou variable en 2026 ?",fr,BE,"CAT_Energie,THEM_TarifVariable,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Je vis seul dans un appartement, quel fournisseur d'énergie me conseilles-tu ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_PersonneSeule,FUN_Decision,QT_Comparative"
"Quel fournisseur d'électricité verte est vraiment vert en Belgique ?",fr,BE,"CAT_Energie,THEM_Verte,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur a le meilleur service client en énergie ?",fr,BE,"CAT_Energie,THEM_ServiceClient,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Liste les fournisseurs d'énergie les moins chers pour le gaz en Belgique.",fr,BE,"CAT_Energie,THEM_Gaz,THEM_Prix,TYPE_Menage,FUN_Decision,QT_Comparative"
"Quel fournisseur convient le mieux à une famille avec trois enfants ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Famille,FUN_Decision,QT_Comparative"
"Je possède des panneaux solaires, quel fournisseur valorise le mieux mon injection ?",fr,BE,"CAT_Energie,THEM_Solaire,TYPE_Solaire,FUN_Decision,QT_Comparative"
"Quel fournisseur propose un tarif dynamique intéressant en Belgique ?",fr,BE,"CAT_Energie,THEM_TarifDynamique,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Recommande-moi un fournisseur d'énergie sans acompte trop élevé.",fr,BE,"CAT_Energie,THEM_Facture,TYPE_Menage,FUN_Decision,QT_Comparative"
"Quel fournisseur est le plus adapté à un locataire qui reste deux ans ?",fr,BE,"CAT_Energie,THEM_Contrat,TYPE_Locataire,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie est le meilleur pour un indépendant à domicile ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Independant,FUN_Decision,QT_Comparative"
"Vaut-il mieux prendre gaz et électricité chez le même fournisseur ?",fr,BE,"CAT_Energie,THEM_Contrat,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur propose le meilleur tarif pour recharger une voiture électrique à domicile ?",fr,BE,"CAT_Energie,THEM_Electricite,TYPE_VEDriver,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie est le plus transparent sur ses frais ?",fr,BE,"CAT_Energie,THEM_Facture,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur choisir quand on a un compteur numérique bi-horaire ?",fr,BE,"CAT_Energie,THEM_CompteurNumerique,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Je viens d'emménager, quel fournisseur d'énergie activer le plus vite ?",fr,BE,"CAT_Energie,THEM_Migration,TYPE_Locataire,FUN_Moving,QT_Comparative"
"Quel fournisseur d'énergie coopératif existe en Belgique ?",fr,BE,"CAT_Energie,THEM_Verte,TYPE_Menage,FUN_Discovery,QT_Comparative"
"Quel fournisseur augmente le moins ses prix en cours de contrat ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Retention,QT_Comparative"
"Quel fournisseur propose le gaz vert le plus crédible ?",fr,BE,"CAT_Energie,THEM_Gaz,THEM_Verte,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Recommande-moi un fournisseur pour une colocation de cinq personnes.",fr,BE,"CAT_Energie,THEM_Contrat,TYPE_Colocation,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie convient à un senior qui veut de la simplicité ?",fr,BE,"CAT_Energie,THEM_ServiceClient,TYPE_Senior,FUN_Decision,QT_Comparative"
"Quel fournisseur applique le tarif social en Belgique ?",fr,BE,"CAT_Energie,THEM_TarifSocial,TYPE_Menage,FUN_Discovery,QT_Comparative"
"Vaut-il mieux un grand fournisseur ou un acteur discount en 2026 ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur est le plus intéressant pour une PME belge ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_PME,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie propose la meilleure application de suivi ?",fr,BE,"CAT_Energie,THEM_ServiceClient,TYPE_Menage,FUN_Retention,QT_Comparative"
"Quel fournisseur choisir quand on chauffe entièrement à l'électricité ?",fr,BE,"CAT_Energie,THEM_Electricite,TYPE_Menage,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie est le mieux noté par les consommateurs belges ?",fr,BE,"CAT_Energie,THEM_ServiceClient,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur propose un contrat sans frais de résiliation ?",fr,BE,"CAT_Energie,THEM_Resiliation,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur est le plus avantageux pour une pompe à chaleur ?",fr,BE,"CAT_Energie,THEM_Electricite,TYPE_Proprietaire,FUN_Decision,QT_Comparative"
"Quel fournisseur propose les meilleures conditions pour une résidence secondaire ?",fr,BE,"CAT_Energie,THEM_Contrat,TYPE_Proprietaire,FUN_Consideration,QT_Comparative"
"Quel fournisseur d'énergie est le plus rapide à traiter un déménagement ?",fr,BE,"CAT_Energie,THEM_Migration,TYPE_Locataire,FUN_Moving,QT_Comparative"
"Quel fournisseur choisir quand on consomme peu d'électricité ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_PersonneSeule,FUN_Decision,QT_Comparative"
"Recommande-moi un fournisseur d'énergie 100 % belge.",fr,BE,"CAT_Energie,THEM_Verte,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur propose la meilleure offre combinée énergie et borne de recharge ?",fr,BE,"CAT_Energie,THEM_Electricite,TYPE_VEDriver,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie facture le mieux les prosumers ?",fr,BE,"CAT_Energie,THEM_Solaire,TYPE_Solaire,FUN_Consideration,QT_Comparative"
"Quel fournisseur choisir pour éviter une grosse régularisation annuelle ?",fr,BE,"CAT_Energie,THEM_Facture,TYPE_Menage,FUN_Retention,QT_Comparative"
"Quel fournisseur d'énergie propose le meilleur tarif de nuit ?",fr,BE,"CAT_Energie,THEM_CompteurNumerique,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Vaut-il mieux changer de fournisseur chaque année en Belgique ?",fr,BE,"CAT_Energie,THEM_Migration,TYPE_Menage,FUN_Retention,QT_Comparative"
"Quel fournisseur est le plus fiable pour un étudiant en kot ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Etudiant,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie propose des contrats en néerlandais et en français ?",fr,BE,"CAT_Energie,THEM_ServiceClient,TYPE_Menage,FUN_Consideration,QT_Comparative"
"Quel fournisseur convient le mieux à un propriétaire bailleur ?",fr,BE,"CAT_Energie,THEM_Contrat,TYPE_Proprietaire,FUN_Decision,QT_Comparative"
"Quel fournisseur d'énergie est le meilleur choix en Wallonie aujourd'hui ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Decision,QT_Comparative"
"Vaut-il mieux Engie Electrabel ou Luminus en 2026 ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Decision,QT_Comparative,BRAND_Engie,BRAND_Luminus"
"Entre Mega et Bolt, lequel est le moins cher pour un ménage moyen ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Decision,QT_Comparative,BRAND_Mega,BRAND_Bolt"
"Quelle est la meilleure alternative à Engie Electrabel en Belgique ?",fr,BE,"CAT_Energie,THEM_Generic,TYPE_Menage,FUN_Consideration,QT_Comparative,BRAND_Engie"
"Vaut-il mieux TotalEnergies ou Eneco pour un contrat fixe ?",fr,BE,"CAT_Energie,THEM_TarifFixe,TYPE_Menage,FUN_Decision,QT_Comparative,BRAND_TotalEnergies,BRAND_Eneco"
"Entre Ecopower et Bolt, lequel est le plus crédible sur le vert ?",fr,BE,"CAT_Energie,THEM_Verte,TYPE_Menage,FUN_Decision,QT_Comparative,BRAND_Ecopower,BRAND_Bolt"
"Octa+ tient-il la comparaison face à Luminus sur les prix ?",fr,BE,"CAT_Energie,THEM_Prix,TYPE_Menage,FUN_Consideration,QT_Comparative,BRAND_OctaPlus,BRAND_Luminus"
