query,language,country,CAT_,SCAT_,TYPE_,CR_,FUN_,QT_
"Quel est le monospace 7 places le plus fiable pour une famille nombreuse ?",fr,BE,Auto,Monospace,GrandeFamille,Fiabilite,Decision,Comparative
"Quel SUV 7 places offre le plus grand coffre une fois la troisième rangée dépliée ?",fr,BE,Auto,SUV7Places,GrandeFamille,Coffre,Decision,Comparative
"Quelle voiture 7 places coûte le moins cher à l'achat neuve ?",fr,BE,Auto,Monospace,Famille,Prix,Decision,Comparative
"Dans quel modèle 7 places peut-on installer trois sièges-auto de front ?",fr,BE,Auto,SUV7Places,GrandeFamille,Modularite,Decision,Comparative
"Vaut-il mieux un Dacia Jogger ou un monospace d'occasion pour du covoiturage scolaire ?",fr,BE,Auto,Occasion,Covoitureur,Prix,Decision,Comparative
"Quelle 7 places électrique a la meilleure autonomie réelle sur autoroute ?",fr,BE,Auto,Electrique7,Societe,Conso,Decision,Comparative
"Quel grand SUV 7 places tient le mieux la route pour de longs trajets en famille ?",fr,BE,Auto,GrandSUV,GrandeFamille,Fiabilite,Decision,Comparative
"Entre le Kia EV9 et le Peugeot e-5008, lequel est plus adapté à une grande famille ?",fr,BE,Auto,Electrique7,GrandeFamille,Espace,Decision,Comparative
"Quel van 7 places est le plus confortable pour un usage taxi au quotidien ?",fr,BE,Auto,Van,Taxi,Espace,Decision,Comparative
"Quelle 7 places hybride est la plus déductible pour une voiture de société en 2026 ?",fr,BE,Auto,Hybride7,Societe,Fiscalite,Decision,Comparative
"Quel monospace d'occasion sous 15.000 € reste fiable après 150.000 km ?",fr,BE,Auto,Occasion,Famille,Fiabilite,Achat,Comparative
"Quelle voiture 7 places consomme le moins en ville pour un chauffeur de taxi ?",fr,BE,Auto,Hybride7,Taxi,Conso,Decision,Comparative
"Quel SUV 7 places sous 40.000 € offre le meilleur rapport espace-prix ?",fr,BE,Auto,SUV7Places,Famille,Prix,Decision,Comparative
"Vaut-il mieux un SUV 7 places ou un monospace pour trois enfants en bas âge ?",fr,BE,Auto,Monospace,GrandeFamille,Espace,Decision,Comparative
"Quelle grande familiale 9 places existe encore en neuf sur le marché ?",fr,BE,Auto,Van,GrandeFamille,Espace,Discovery,Comparative
"Quel modèle 7 places d'occasion garde le mieux sa valeur à la revente ?",fr,BE,Auto,Occasion,Famille,Prix,Revente,Comparative
"Quelle 7 places propose la troisième rangée la plus habitable pour des adultes ?",fr,BE,Auto,GrandSUV,GrandeFamille,Espace,Decision,Comparative
"Quel break 7 places consomme le moins sur de longs trajets ?",fr,BE,Auto,Break7,Famille,Conso,Decision,Comparative
"Quelle voiture 7 places offre le plus de rangements pratiques pour partir en vacances ?",fr,BE,Auto,Monospace,GrandeFamille,Modularite,Decision,Comparative
