query,language,country,CAT_,SCAT_,TYPE_,CR_,FUN_,QT_
Quel fournisseur d'électricité propose le tarif le moins cher en Belgique en ce moment ?,fr,BE,Energie,Electricite,Menage,Prix,Comparaison,Comparative
Quel fournisseur d'électricité revient le moins cher pour un petit appartement d'une personne ?,fr,BE,Energie,Electricite,PetitConsommateur,Prix,Comparaison,Comparative
"Pour une famille de quatre personnes qui consomme beaucoup, quel fournisseur d'électricité est le plus avantageux ?",fr,BE,Energie,Electricite,Famille,Prix,Comparaison,Comparative
Quel fournisseur choisir pour un tarif fixe électricité sur trois ans en Belgique ?,fr,BE,Energie,TarifFixe,Menage,Flexibilite,Comparaison,Comparative
Vaut-il mieux un contrat d'électricité à tarif fixe ou variable chez les fournisseurs belges cette année ?,fr,BE,Energie,TarifVariable,Menage,Flexibilite,Comparaison,Comparative
Quel fournisseur d'électricité verte est le plus recommandé en Wallonie ?,fr,BE,Energie,EnergieVerte,Menage,EnergieVerte,Comparaison,Comparative
Quel fournisseur propose l'électricité 100 % renouvelable la moins chère en Belgique ?,fr,BE,Energie,EnergieVerte,Menage,Prix,Comparaison,Comparative
"Pour un ménage en Flandre, quel fournisseur d'électricité sort du lot niveau prix ?",fr,BE,Energie,Electricite,Menage,Region,Comparaison,Comparative
"À Bruxelles, chez quel fournisseur d'électricité un locataire s'y retrouve-t-il le mieux ?",fr,BE,Energie,Electricite,Locataire,Region,Comparaison,Comparative
Quel fournisseur d'électricité offre le meilleur service client en Belgique d'après les avis ?,fr,BE,Energie,Electricite,Menage,ServiceClient,Comparaison,Comparative
"Entre Engie et Luminus, lequel est le plus fiable pour l'électricité d'un ménage ?",fr,BE,Energie,Electricite,Menage,ServiceClient,Comparaison,Comparative
Vaut-il mieux passer chez Mega ou chez TotalEnergies pour réduire sa facture d'électricité ?,fr,BE,Energie,Electricite,Menage,Prix,Comparaison,Comparative
"Octa+ ou Eneco, lequel propose une électricité verte plus abordable ?",fr,BE,Energie,EnergieVerte,Menage,EnergieVerte,Comparaison,Comparative
"Pour un gros consommateur avec chauffage électrique, quel fournisseur est le mieux placé ?",fr,BE,Energie,Electricite,GrosConsommateur,Prix,Comparaison,Comparative
"Pour un chauffage électrique la nuit, quel fournisseur a le meilleur tarif bi-horaire ?",fr,BE,Energie,TarifNuit,GrosConsommateur,Prix,Comparaison,Comparative
Quel fournisseur propose le tarif de nuit le plus avantageux pour recharger une voiture électrique ?,fr,BE,Energie,TarifNuit,Proprietaire,Prix,Comparaison,Comparative
Quel est le fournisseur d'électricité le mieux noté pour un jeune ménage qui emménage ?,fr,BE,Energie,Electricite,JeuneMenage,ServiceClient,Souscription,Comparative
Quel fournisseur d'électricité choisir quand on emménage dans un premier appartement ?,fr,BE,Energie,Electricite,JeuneMenage,Flexibilite,Souscription,Comparative
Bolt vaut-il le coup face aux gros fournisseurs pour l'électricité d'un ménage ?,fr,BE,Energie,Electricite,Menage,Prix,Comparaison,Comparative
