queries,language,country,tags
"Quelle est la meilleure banque en Belgique en 2026 ?",fr,BE,"CAT_Banque,THEM_Generic,TYPE_Generic,FUN_Decision,QT_Comparative"
"Recommande-moi une banque avec un compte courant vraiment gratuit.",fr,BE,"CAT_Banque,THEM_CompteCourant,THEM_Frais,TYPE_Generic,FUN_Decision,QT_Comparative"
"Quelle banque offre le meilleur taux sur un compte d'épargne en Belgique ?",fr,BE,"CAT_Banque,THEM_Epargne,THEM_Taux,TYPE_Epargnant,FUN_Decision,QT_Comparative"
"Je suis étudiant, quelle banque me conseilles-tu en Belgique ?",fr,BE,"CAT_Banque,THEM_CompteCourant,TYPE_Etudiant,FUN_Decision,QT_Comparative"
"Quelle banque a la meilleure application mobile en Belgique ?",fr,BE,"CAT_Banque,THEM_App,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Vaut-il mieux une banque traditionnelle ou une banque en ligne en Belgique ?",fr,BE,"CAT_Banque,THEM_Generic,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle banque a le meilleur service client belge ?",fr,BE,"CAT_Banque,THEM_ServiceClient,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Liste les banques belges sans frais de tenue de compte.",fr,BE,"CAT_Banque,THEM_Frais,TYPE_Generic,FUN_Decision,QT_Comparative"
"Quelle banque propose le meilleur crédit hypothécaire en Belgique ?",fr,BE,"CAT_Banque,THEM_Hypothecaire,TYPE_Famille,FUN_Decision,QT_Comparative"
"Je suis indépendant, quelle banque choisir pour mon compte professionnel ?",fr,BE,"CAT_Banque,THEM_ComptePro,TYPE_Independant,FUN_Decision,QT_Comparative"
"Quelle banque offre la meilleure carte de débit sans frais à l'étranger ?",fr,BE,"CAT_Banque,THEM_Carte,THEM_Etranger,TYPE_Voyageur,FUN_Decision,QT_Comparative"
"Recommande-moi une banque simple pour un senior qui va encore en agence.",fr,BE,"CAT_Banque,THEM_Agence,TYPE_Senior,FUN_Decision,QT_Comparative"
