queries,language,country,tags
"Quelle est la meilleure assurance auto en Belgique en 2026 ?",fr,BE,"CAT_AssuranceAuto,THEM_Generic,TYPE_Generic,FUN_Decision,QT_Comparative"
"Recommande-moi une assurance auto pas chère avec de bonnes garanties.",fr,BE,"CAT_AssuranceAuto,THEM_Prix,THEM_Garanties,TYPE_Generic,FUN_Decision,QT_Comparative"
"Quel assureur propose la prime la moins chère pour un jeune conducteur ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_JeuneConducteur,FUN_Decision,QT_Comparative"
"Je viens d'avoir mon permis, quelle assurance auto choisir en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Jeune,TYPE_JeuneConducteur,FUN_FirstBuy,QT_Comparative"
"Quelle omnium complète offre le meilleur rapport prix-garanties ?",fr,BE,"CAT_AssuranceAuto,THEM_Omnium,TYPE_Generic,FUN_Decision,QT_Comparative"
"Vaut-il mieux une mini-omnium ou une omnium complète pour une voiture de trois ans ?",fr,BE,"CAT_AssuranceAuto,THEM_MiniOmnium,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quel assureur gère le mieux les sinistres en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Sinistre,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Liste les assurances auto les moins chères pour une voiture d'occasion.",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Generic,FUN_Decision,QT_Comparative"
"Quelle assurance auto convient à un conducteur qui roule moins de 8 000 km par an ?",fr,BE,"CAT_AssuranceAuto,THEM_AuKilometre,TYPE_PetitRouleur,FUN_Decision,QT_Comparative"
"Je suis malussé, quel assureur accepte encore mon profil en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Malus,TYPE_Malusse,FUN_Decision,QT_Comparative"
"Quel assureur propose la meilleure assistance dépannage en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Assistance,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle assurance auto est la plus adaptée à une voiture électrique ?",fr,BE,"CAT_AssuranceAuto,THEM_Electrique,TYPE_Generic,FUN_Decision,QT_Comparative"
"Recommande-moi une assurance auto pour un indépendant qui utilise sa voiture pro et privé.",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Independant,FUN_Decision,QT_Comparative"
"Quel assureur applique la franchise la plus basse en omnium ?",fr,BE,"CAT_AssuranceAuto,THEM_Franchise,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle assurance auto choisir quand on a deux voitures dans le ménage ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Famille,FUN_Decision,QT_Comparative"
"Vaut-il mieux passer par un courtier ou souscrire en ligne en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Devis,TYPE_Generic,FUN_Purchase,QT_Comparative"
"Quel assureur reprend le mieux le bonus-malus d'un autre pays ?",fr,BE,"CAT_AssuranceAuto,THEM_BonusMalus,TYPE_Expat,FUN_Consideration,QT_Comparative"
"Quelle assurance auto propose la meilleure protection du conducteur ?",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Famille,FUN_Consideration,QT_Comparative"
"Quel assureur est le moins cher pour un senior de plus de 70 ans ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Senior,FUN_Decision,QT_Comparative"
"Quelle assurance auto temporaire choisir pour un mois en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Temporaire,TYPE_Generic,FUN_Purchase,QT_Comparative"
"Quel assureur propose le meilleur tarif pour une voiture de société ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Independant,FUN_Decision,QT_Comparative"
"Comment obtenir le devis d'assurance auto le plus bas en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Devis,TYPE_Generic,FUN_Purchase,QT_Comparative"
"Quelle assurance auto inclut le bris de glace sans franchise ?",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quel assureur rembourse le plus vite après un accident ?",fr,BE,"CAT_AssuranceAuto,THEM_Sinistre,TYPE_Generic,FUN_Retention,QT_Comparative"
"Quelle assurance auto convient à un étudiant qui emprunte la voiture familiale ?",fr,BE,"CAT_AssuranceAuto,THEM_Jeune,TYPE_EtudiantConducteur,FUN_Consideration,QT_Comparative"
"Quel assureur propose la meilleure formule pay-as-you-drive ?",fr,BE,"CAT_AssuranceAuto,THEM_AuKilometre,TYPE_PetitRouleur,FUN_Decision,QT_Comparative"
"Vaut-il mieux garder son omnium après cinq ans ou passer en RC seule ?",fr,BE,"CAT_AssuranceAuto,THEM_Omnium,TYPE_Generic,FUN_Retention,QT_Comparative"
"Quelle assurance auto couvre le mieux la grêle et les inondations en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Proprietaire,FUN_Consideration,QT_Comparative"
"Quel assureur est le plus intéressant pour une deuxième voiture peu utilisée ?",fr,BE,"CAT_AssuranceAuto,THEM_AuKilometre,TYPE_SecondeVoiture,FUN_Decision,QT_Comparative"
"Recommande-moi une assurance auto avec véhicule de remplacement inclus.",fr,BE,"CAT_AssuranceAuto,THEM_Assistance,TYPE_Famille,FUN_Decision,QT_Comparative"
"Quel assureur propose la meilleure protection juridique auto ?",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle assurance auto choisir après une résiliation par son assureur ?",fr,BE,"CAT_AssuranceAuto,THEM_Resiliation,TYPE_Malusse,FUN_Decision,QT_Comparative"
"Quel assureur applique le moins de surprime après un accident en tort ?",fr,BE,"CAT_AssuranceAuto,THEM_BonusMalus,TYPE_Generic,FUN_Retention,QT_Comparative"
"Quelle assurance auto est la moins chère pour une petite citadine ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Generic,FUN_Decision,QT_Comparative"
"Quel assureur propose une omnium intéressante pour un véhicule d'occasion de cinq ans ?",fr,BE,"CAT_AssuranceAuto,THEM_Omnium,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Je viens d'arriver en Belgique, comment assurer ma voiture rapidement ?",fr,BE,"CAT_AssuranceAuto,THEM_Devis,TYPE_Expat,FUN_Newcomer,QT_Comparative"
"Quel assureur auto a le meilleur service client francophone ?",fr,BE,"CAT_AssuranceAuto,THEM_ServiceClient,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle assurance auto propose le meilleur tarif pour un conducteur de plus de 50 ans sans sinistre ?",fr,BE,"CAT_AssuranceAuto,THEM_BonusMalus,TYPE_Senior,FUN_Decision,QT_Comparative"
"Quel assureur couvre le mieux une voiture hybride rechargeable ?",fr,BE,"CAT_AssuranceAuto,THEM_Electrique,TYPE_Generic,FUN_Consideration,QT_Comparative"
"Quelle assurance auto est la plus adaptée à un livreur indépendant ?",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Independant,FUN_Decision,QT_Comparative"
"Quel assureur permet de suspendre son contrat pendant l'hiver ?",fr,BE,"CAT_AssuranceAuto,THEM_Temporaire,TYPE_SecondeVoiture,FUN_Retention,QT_Comparative"
"Quelle assurance auto propose la meilleure couverture à l'étranger ?",fr,BE,"CAT_AssuranceAuto,THEM_Assistance,TYPE_Voyageur,FUN_Consideration,QT_Comparative"
"Quel assureur est le plus avantageux quand on assure aussi son habitation chez lui ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Famille,FUN_Decision,QT_Comparative"
"Comment faire baisser sa prime d'assurance auto sans perdre de garanties ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Generic,FUN_Retention,QT_Comparative"
"Quelle assurance auto choisir pour une voiture de collection ?",fr,BE,"CAT_AssuranceAuto,THEM_Garanties,TYPE_Proprietaire,FUN_Decision,QT_Comparative"
"Vaut-il mieux AXA ou Ethias pour une assurance auto en Belgique ?",fr,BE,"CAT_AssuranceAuto,THEM_Prix,TYPE_Generic,FUN_Decision,QT_Comparative,BRAND_AXA,BRAND_Ethias"
