queries,language,country,tags
"Quelle voiture familiale offre le plus grand coffre sous 30.000 € ?",fr,BE,"CAT_Auto,THEM_Familiale,THEM_Coffre,TYPE_Famille,FUN_Decision,QT_Comparative"
"Quelle voiture familiale hybride consomme le moins en ville ?",fr,BE,"CAT_Auto,THEM_Hybride,THEM_Conso,TYPE_Navetteur,FUN_Consideration,QT_Comparative"
"Quelle voiture 7 places est la plus fiable sur le long terme ?",fr,BE,"CAT_Auto,THEM_SevenSeater,THEM_Fiabilite,TYPE_GrandeFamille,FUN_Consideration,QT_Comparative"
"Quelle voiture familiale électrique a la meilleure autonomie réelle en Belgique ?",fr,BE,"CAT_Auto,THEM_Electrique,THEM_Conso,TYPE_Famille,FUN_Consideration,QT_Comparative"
"Quelle voiture familiale d'occasion tient le mieux la route après 150.000 km ?",fr,BE,"CAT_Auto,THEM_Occasion,THEM_Fiabilite,TYPE_BudgetServe,FUN_Consideration,QT_Comparative"
"Quel break offre le meilleur volume de chargement pour partir en vacances ?",fr,BE,"CAT_Auto,THEM_Break,THEM_Coffre,TYPE_Famille,FUN_Consideration,QT_Comparative"
"Quel monospace reste le plus modulable avec trois sièges enfant ?",fr,BE,"CAT_Auto,THEM_Monospace,THEM_Modularite,TYPE_GrandeFamille,FUN_Consideration,QT_Comparative"
"Quel SUV familial coûte le moins cher à entretenir en Belgique ?",fr,BE,"CAT_Auto,THEM_SUVFamilial,THEM_Prix,TYPE_Famille,FUN_Consideration,QT_Comparative"
"Recommande-moi une voiture familiale sûre pour transporter un bébé au quotidien.",fr,BE,"CAT_Auto,THEM_Familiale,THEM_Securite,TYPE_JeuneParent,FUN_Decision,QT_Comparative"
"Recommande-moi un break spacieux à moins de 20.000 € en occasion.",fr,BE,"CAT_Auto,THEM_Break,THEM_Budget,TYPE_BudgetServe,FUN_Decision,QT_Comparative"
"Recommande-moi une 7 places confortable pour les longs trajets vers le sud.",fr,BE,"CAT_Auto,THEM_SevenSeater,THEM_Confort,TYPE_GrandeFamille,FUN_Decision,QT_Comparative"
