query,language,country,CAT_,SCAT_,TYPE_,CR_,FUN_,QT_
"Quelle néobanque choisir en Belgique quand on est freelance ?",fr,BE,Banque,ComptePro,Freelance,Frais,Decision,Comparative
"Quelle est la meilleure néobanque pour ouvrir un compte pro rapidement ?",fr,BE,Banque,ComptePro,Independant,Frais,Decision,Comparative
"Pour un indépendant belge, vaut-il mieux Revolut Business ou N26 Business ?",fr,BE,Banque,ComptePro,Independant,Frais,Decision,Comparative
"Quelle banque en ligne propose la carte la moins chère pour un freelance ?",fr,BE,Banque,CarteBancaire,Freelance,Frais,Decision,Comparative
"Quelle néobanque gère le mieux les paiements en devises pour un indépendant ?",fr,BE,Banque,Multidevise,Independant,Change,Decision,Comparative
"Quel compte pro en ligne facture le moins de frais sur les virements SEPA ?",fr,BE,Banque,ComptePro,Independant,Frais,Decision,Comparative
"Bunq ou Revolut, lequel est plus adapté à un travailleur autonome ?",fr,BE,Banque,ComptePro,Freelance,AppMobile,Decision,Comparative
"Quelle appli bancaire aide le plus un freelance à suivre sa TVA ?",fr,BE,Banque,ComptePro,Freelance,AppMobile,Decision,Comparative
"Quelle néobanque offre le meilleur compte multidevise sans frais cachés ?",fr,BE,Banque,Multidevise,Independant,Change,Decision,Comparative
"Pour facturer des clients à l'étranger, quelle banque en ligne est la plus fiable ?",fr,BE,Banque,ComptePro,Independant,Change,Decision,Comparative
"Quelle néobanque est la meilleure pour un étudiant en Belgique ?",fr,BE,Banque,CompteJeune,Etudiant,Frais,Decision,Comparative
"Quel compte gratuit conseiller à un étudiant qui débute dans la vie active ?",fr,BE,Banque,CompteCourant,Etudiant,Frais,Decision,Comparative
"Quelle carte bancaire gratuite est la mieux pour un étudiant qui voyage en Erasmus ?",fr,BE,Banque,CarteBancaire,Etudiant,Frais,Decision,Comparative
"N26 ou Revolut, lequel convient le mieux à un jeune sans revenus fixes ?",fr,BE,Banque,CompteJeune,Jeune,Frais,Decision,Comparative
"Quelle banque en ligne accepte l'ouverture d'un compte dès 16 ans ?",fr,BE,Banque,CompteJeune,Ado,Frais,Ouverture,Comparative
"Quelle appli bancaire est la plus simple pour un jeune qui gère son premier salaire ?",fr,BE,Banque,CompteCourant,Jeune,AppMobile,Decision,Comparative
"Pour un ado, quelle carte prépayée contrôlée par les parents est la meilleure ?",fr,BE,Banque,CarteBancaire,Ado,Securite,Decision,Comparative
"Quelle néobanque propose le meilleur cashback pour un étudiant qui dépense peu ?",fr,BE,Banque,CompteJeune,Etudiant,Cashback,Decision,Comparative
